"DateTime";"CORUMBA"
"2021-06-01 00:00:00";4
"2021-06-02 00:00:00";7
"2021-06-03 00:00:00";7
"2021-06-04 00:00:00";10
"2021-06-05 00:00:00";11
"2021-06-06 00:00:00";6
"2021-06-07 00:00:00";6
"2021-06-08 00:00:00";6
"2021-06-09 00:00:00";5
"2021-06-10 00:00:00";7
"2021-06-11 00:00:00";9
"2021-06-12 00:00:00";7
"2021-06-13 00:00:00";6
"2021-06-14 00:00:00";5
"2021-06-15 00:00:00";7
"2021-06-16 00:00:00";9
"2021-06-17 00:00:00";11
"2021-06-18 00:00:00";10
"2021-06-19 00:00:00";10
"2021-06-20 00:00:00";6
"2021-06-21 00:00:00";5
"2021-06-22 00:00:00";8
"2021-06-23 00:00:00";10
"2021-06-24 00:00:00";9
"2021-06-25 00:00:00";6
"2021-06-26 00:00:00";10
"2021-06-27 00:00:00";17
"2021-06-28 00:00:00";13
"2021-06-29 00:00:00";7
"2021-06-30 00:00:00";10
